,CITY,COUNTRY,LAT,LNG,TEMP,MAXTEMP,HUMIDITY,CLOUDINESS,WINDSPEED
0,Iquique,CL,-20.2208,-70.1431,60.84,60.84,65,22,5.26
1,Vostok,RU,46.4856,135.8833,64.29,64.29,99,64,4.54
2,Albany,US,42.6001,-73.9662,76.66,76.66,53,15,1.99
3,Puerto Ayora,EC,-0.7393,-90.3518,72.55,72.55,84,83,5.01
4,Banda Aceh,ID,5.5577,95.3222,80.4,80.4,76,99,12.08
5,Busselton,AU,-33.65,115.3333,53.69,53.69,64,99,5.46
6,Barrow,US,71.2906,-156.7887,38.26,38.26,83,100,7.96
7,Jamestown,US,42.097,-79.2353,72.77,72.77,56,40,11.5
8,Norman Wells,CA,65.282,-126.8329,57.24,57.24,77,75,4.61
9,San Patricio,US,28.017,-97.5169,93.06,93.06,40,33,15.79
10,Lyngdal,NO,58.1376,7.07,65.89,65.89,71,94,3.49
11,Yatou,CN,37.15,122.3833,76.42,76.42,89,90,5.21
12,Havelock,US,34.8791,-76.9013,88.47,88.47,75,75,6.91
13,Vukovar,HR,45.3433,18.9997,76.77,76.77,61,20,11.5
14,Saskylakh,RU,71.9167,114.0833,60.44,60.44,95,100,9.28
15,Madingou,CG,-4.1536,13.55,82.22,82.22,50,40,10.89
16,Hasaki,JP,35.7333,140.8333,75.6,75.6,88,17,7.83
