,JSON,DATE,CITY,COUNTRY,LAT,LNG,MAX_TEMP,HUMIDITY,CLOUDINESS,WIND_SPEED
0,"{'coord': {'lon': -175.2, 'lat': -21.2}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}], 'base': 'stations', 'main': {'temp': 80.76, 'feels_like': 87.58, 'temp_min': 80.76, 'temp_max': 80.76, 'pressure': 1017, 'humidity': 89}, 'visibility': 10000, 'wind': {'speed': 10.36, 'deg': 70}, 'clouds': {'all': 40}, 'dt': 1659236296, 'sys': {'type': 1, 'id': 7285, 'country': 'TO', 'sunrise': 1659291153, 'sunset': 1659331298}, 'timezone': 46800, 'id': 4032243, 'name': 'Vaini', 'cod': 200}",2022-07-31 02:58:16,Vaini,TO,-21.2,-175.2,80.76,89.0,40.0,10.36
1,"{'coord': {'lon': -122.4286, 'lat': 37.4636}, 'weather': [{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}], 'base': 'stations', 'main': {'temp': 62.33, 'feels_like': 62.35, 'temp_min': 57.65, 'temp_max': 69.8, 'pressure': 1015, 'humidity': 87}, 'visibility': 2414, 'wind': {'speed': 16.11, 'deg': 280}, 'clouds': {'all': 100}, 'dt': 1659236298, 'sys': {'type': 1, 'id': 4322, 'country': 'US', 'sunrise': 1659186735, 'sunset': 1659237590}, 'timezone': -25200, 'id': 5354943, 'name': 'Half Moon Bay', 'cod': 200}",2022-07-31 02:58:18,Half Moon Bay,US,37.4636,-122.4286,62.33,87.0,100.0,16.11
2,"{'coord': {'lon': 168.3333, 'lat': -46.6}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 47.8, 'feels_like': 41.52, 'temp_min': 47.8, 'temp_max': 47.8, 'pressure': 1012, 'humidity': 77, 'sea_level': 1012, 'grnd_level': 1009}, 'visibility': 10000, 'wind': {'speed': 16.26, 'deg': 221, 'gust': 22.01}, 'clouds': {'all': 49}, 'dt': 1659236299, 'sys': {'type': 2, 'id': 2008959, 'country': 'NZ', 'sunrise': 1659211796, 'sunset': 1659245764}, 'timezone': 43200, 'id': 2206939, 'name': 'Bluff', 'cod': 200}",2022-07-31 02:58:19,Bluff,NZ,-46.6,168.3333,47.8,77.0,49.0,16.26
3,"{'coord': {'lon': -79.2353, 'lat': 42.097}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 61.48, 'feels_like': 59.92, 'temp_min': 58.51, 'temp_max': 62.71, 'pressure': 1024, 'humidity': 55}, 'visibility': 10000, 'wind': {'speed': 1.63, 'deg': 271, 'gust': 2.1}, 'clouds': {'all': 1}, 'dt': 1659236301, 'sys': {'type': 2, 'id': 2008933, 'country': 'US', 'sunrise': 1659175683, 'sunset': 1659227910}, 'timezone': -14400, 'id': 5122534, 'name': 'Jamestown', 'cod': 200}",2022-07-31 02:58:21,Jamestown,US,42.097,-79.2353,61.48,55.0,1.0,1.63
4,"{'coord': {'lon': -73.9662, 'lat': 42.6001}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 65.89, 'feels_like': 65.86, 'temp_min': 61.59, 'temp_max': 68.79, 'pressure': 1022, 'humidity': 78}, 'visibility': 10000, 'wind': {'speed': 4.85, 'deg': 275, 'gust': 10.33}, 'clouds': {'all': 0}, 'dt': 1659236257, 'sys': {'type': 2, 'id': 2037353, 'country': 'US', 'sunrise': 1659174338, 'sunset': 1659226727}, 'timezone': -14400, 'id': 5106841, 'name': 'Albany', 'cod': 200}",2022-07-31 02:57:37,Albany,US,42.6001,-73.9662,65.89,78.0,0.0,4.85
6,"{'coord': {'lon': 57.7575, 'lat': -20.3428}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 68.25, 'feels_like': 68.22, 'temp_min': 68.25, 'temp_max': 70.21, 'pressure': 1021, 'humidity': 73}, 'visibility': 10000, 'wind': {'speed': 17.27, 'deg': 80}, 'clouds': {'all': 40}, 'dt': 1659236307, 'sys': {'type': 1, 'id': 2061, 'country': 'MU', 'sunrise': 1659235184, 'sunset': 1659275450}, 'timezone': 14400, 'id': 1106677, 'name': 'Bambous Virieux', 'cod': 200}",2022-07-31 02:58:27,Bambous Virieux,MU,-20.3428,57.7575,68.25,73.0,40.0,17.27
7,"{'coord': {'lon': 147.2712, 'lat': -2.0226}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 85.03, 'feels_like': 90.95, 'temp_min': 85.03, 'temp_max': 85.03, 'pressure': 1008, 'humidity': 65, 'sea_level': 1008, 'grnd_level': 1008}, 'visibility': 10000, 'wind': {'speed': 10.85, 'deg': 134, 'gust': 13.33}, 'clouds': {'all': 83}, 'dt': 1659236309, 'sys': {'country': 'PG', 'sunrise': 1659212186, 'sunset': 1659255483}, 'timezone': 36000, 'id': 2092164, 'name': 'Lorengau', 'cod': 200}",2022-07-31 02:58:29,Lorengau,PG,-2.0226,147.2712,85.03,65.0,83.0,10.85
8,"{'coord': {'lon': -109.9124, 'lat': 22.8909}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}], 'base': 'stations', 'main': {'temp': 86.56, 'feels_like': 94.21, 'temp_min': 84.06, 'temp_max': 87.62, 'pressure': 1013, 'humidity': 65, 'sea_level': 1013, 'grnd_level': 1011}, 'visibility': 10000, 'wind': {'speed': 3, 'deg': 312, 'gust': 8.01}, 'clouds': {'all': 16}, 'dt': 1659236310, 'sys': {'type': 2, 'id': 2004005, 'country': 'MX', 'sunrise': 1659185385, 'sunset': 1659232933}, 'timezone': -21600, 'id': 3985710, 'name': 'Cabo San Lucas', 'cod': 200}",2022-07-31 02:58:30,Cabo San Lucas,MX,22.8909,-109.9124,86.56,65.0,16.0,3.0
9,"{'coord': {'lon': 96.1285, 'lat': 4.1363}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 83.05, 'feels_like': 88.48, 'temp_min': 83.05, 'temp_max': 83.05, 'pressure': 1009, 'humidity': 70, 'sea_level': 1009, 'grnd_level': 1008}, 'visibility': 10000, 'wind': {'speed': 1.16, 'deg': 87, 'gust': 1.19}, 'clouds': {'all': 77}, 'dt': 1659236312, 'sys': {'country': 'ID', 'sunrise': 1659223968, 'sunset': 1659268249}, 'timezone': 25200, 'id': 1214488, 'name': 'Meulaboh', 'cod': 200}",2022-07-31 02:58:32,Meulaboh,ID,4.1363,96.1285,83.05,70.0,77.0,1.16
10,"{'coord': {'lon': -121.6555, 'lat': 36.6777}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 62.94, 'feels_like': 62.56, 'temp_min': 60.12, 'temp_max': 68.81, 'pressure': 1015, 'humidity': 77}, 'visibility': 10000, 'wind': {'speed': 5.75, 'deg': 0}, 'clouds': {'all': 75}, 'dt': 1659236134, 'sys': {'type': 2, 'id': 2006625, 'country': 'US', 'sunrise': 1659186655, 'sunset': 1659237299}, 'timezone': -25200, 'id': 5391295, 'name': 'Salinas', 'cod': 200}",2022-07-31 02:55:34,Salinas,US,36.6777,-121.6555,62.94,77.0,75.0,5.75
