,JSON,DATE,CITY,COUNTRY,LAT,LNG,MAX_TEMP,HUMIDITY,CLOUDINESS,WIND_SPEED
0,"{'coord': {'lon': -126.8329, 'lat': 65.282}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 60.84, 'feels_like': 60.01, 'temp_min': 60.84, 'temp_max': 60.84, 'pressure': 1014, 'humidity': 72}, 'visibility': 10000, 'wind': {'speed': 12.66, 'deg': 280, 'gust': 21.85}, 'clouds': {'all': 75}, 'dt': 1659562031, 'sys': {'type': 1, 'id': 951, 'country': 'CA', 'sunrise': 1659526192, 'sunset': 1659591424}, 'timezone': -21600, 'id': 6089245, 'name': 'Norman Wells', 'cod': 200}",1659562031,Norman Wells,CA,65.282,-126.8329,60.84,72.0,75.0,12.66
1,"{'coord': {'lon': 25.5701, 'lat': -33.918}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 59.29, 'feels_like': 58.3, 'temp_min': 59.29, 'temp_max': 59.29, 'pressure': 1017, 'humidity': 72}, 'visibility': 10000, 'wind': {'speed': 6.91, 'deg': 270}, 'clouds': {'all': 0}, 'dt': 1659561930, 'sys': {'type': 1, 'id': 1973, 'country': 'ZA', 'sunrise': 1659503320, 'sunset': 1659541146}, 'timezone': 7200, 'id': 964420, 'name': 'Port Elizabeth', 'cod': 200}",1659561930,Port Elizabeth,ZA,-33.918,25.5701,59.29,72.0,0.0,6.91
3,"{'coord': {'lon': -47.3561, 'lat': -0.6136}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 80.4, 'feels_like': 84.94, 'temp_min': 80.4, 'temp_max': 80.4, 'pressure': 1010, 'humidity': 79, 'sea_level': 1010, 'grnd_level': 1010}, 'visibility': 10000, 'wind': {'speed': 12.3, 'deg': 88, 'gust': 18.75}, 'clouds': {'all': 65}, 'dt': 1659562186, 'sys': {'country': 'BR', 'sunrise': 1659517972, 'sunset': 1659561497}, 'timezone': -10800, 'id': 3389822, 'name': 'Salinópolis', 'cod': 200}",1659562186,Salinópolis,BR,-0.6136,-47.3561,80.4,79.0,65.0,12.3
4,"{'coord': {'lon': -147.8028, 'lat': 64.8569}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 68.95, 'feels_like': 68.56, 'temp_min': 66.79, 'temp_max': 71.01, 'pressure': 1015, 'humidity': 64}, 'visibility': 10000, 'wind': {'speed': 4.61, 'deg': 170}, 'clouds': {'all': 40}, 'dt': 1659562188, 'sys': {'type': 1, 'id': 7683, 'country': 'US', 'sunrise': 1659531504, 'sunset': 1659596176}, 'timezone': -28800, 'id': 5859699, 'name': 'College', 'cod': 200}",1659562188,College,US,64.8569,-147.8028,68.95,64.0,40.0,4.61
5,"{'coord': {'lon': -65.7125, 'lat': 66.1451}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 50, 'feels_like': 47.8, 'temp_min': 50, 'temp_max': 50, 'pressure': 1004, 'humidity': 71}, 'visibility': 10000, 'wind': {'speed': 5.75, 'deg': 260}, 'clouds': {'all': 75}, 'dt': 1659562177, 'sys': {'type': 1, 'id': 968, 'country': 'CA', 'sunrise': 1659510893, 'sunset': 1659577386}, 'timezone': -14400, 'id': 6096551, 'name': 'Pangnirtung', 'cod': 200}",1659562177,Pangnirtung,CA,66.1451,-65.7125,50.0,71.0,75.0,5.75
6,"{'coord': {'lon': 19.2345, 'lat': -34.4187}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 52.81, 'feels_like': 51.73, 'temp_min': 52.81, 'temp_max': 52.81, 'pressure': 1019, 'humidity': 84, 'sea_level': 1019, 'grnd_level': 1015}, 'visibility': 10000, 'wind': {'speed': 11.97, 'deg': 297, 'gust': 17.43}, 'clouds': {'all': 2}, 'dt': 1659561908, 'sys': {'type': 2, 'id': 2006131, 'country': 'ZA', 'sunrise': 1659504894, 'sunset': 1659542612}, 'timezone': 7200, 'id': 3366880, 'name': 'Hermanus', 'cod': 200}",1659561908,Hermanus,ZA,-34.4187,19.2345,52.81,84.0,2.0,11.97
7,"{'coord': {'lon': 122.3833, 'lat': 37.15}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 77, 'feels_like': 78.91, 'temp_min': 77, 'temp_max': 77, 'pressure': 1009, 'humidity': 96, 'sea_level': 1009, 'grnd_level': 1005}, 'visibility': 10000, 'wind': {'speed': 6.49, 'deg': 201, 'gust': 14.97}, 'clouds': {'all': 1}, 'dt': 1659562017, 'sys': {'country': 'CN', 'sunrise': 1659560239, 'sunset': 1659610550}, 'timezone': 28800, 'id': 1786855, 'name': 'Yatou', 'cod': 200}",1659562017,Yatou,CN,37.15,122.3833,77.0,96.0,1.0,6.49
8,"{'coord': {'lon': 140.8333, 'lat': 35.7333}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 73.8, 'feels_like': 75.02, 'temp_min': 73.8, 'temp_max': 75.29, 'pressure': 1009, 'humidity': 88, 'sea_level': 1009, 'grnd_level': 1009}, 'visibility': 10000, 'wind': {'speed': 12.75, 'deg': 44, 'gust': 15.5}, 'rain': {'1h': 0.25}, 'clouds': {'all': 100}, 'dt': 1659562036, 'sys': {'type': 1, 'id': 7955, 'country': 'JP', 'sunrise': 1659555983, 'sunset': 1659605950}, 'timezone': 32400, 'id': 2112802, 'name': 'Hasaki', 'cod': 200}",1659562036,Hasaki,JP,35.7333,140.8333,73.8,88.0,100.0,12.75
9,"{'coord': {'lon': -68.5145, 'lat': 63.7506}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 49.69, 'feels_like': 45.93, 'temp_min': 49.69, 'temp_max': 51.53, 'pressure': 1002, 'humidity': 71}, 'visibility': 10000, 'wind': {'speed': 9.22, 'deg': 150}, 'clouds': {'all': 40}, 'dt': 1659562040, 'sys': {'type': 2, 'id': 47658, 'country': 'CA', 'sunrise': 1659513070, 'sunset': 1659576554}, 'timezone': -14400, 'id': 5983720, 'name': 'Iqaluit', 'cod': 200}",1659562040,Iqaluit,CA,63.7506,-68.5145,49.69,71.0,40.0,9.22
10,"{'coord': {'lon': -134.9692, 'lat': -23.1203}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 71.96, 'feels_like': 72.05, 'temp_min': 71.96, 'temp_max': 71.96, 'pressure': 1020, 'humidity': 68, 'sea_level': 1020, 'grnd_level': 1017}, 'visibility': 10000, 'wind': {'speed': 15.35, 'deg': 127, 'gust': 14.56}, 'clouds': {'all': 52}, 'dt': 1659561792, 'sys': {'country': 'PF', 'sunrise': 1659540779, 'sunset': 1659580742}, 'timezone': -32400, 'id': 4030556, 'name': 'Rikitea', 'cod': 200}",1659561792,Rikitea,PF,-23.1203,-134.9692,71.96,68.0,52.0,15.35
